produto_pt,produto_en,produto_es,var_2019_2022_pct,var_2023_2026_pct,acumulado_vs_jan2019_pct
tambaqui,Tambaqui (river fish),Tambaquí (pez de río),18.7,7.3,27.4
Refrigerador,Refrigerator,Refrigerador,42.6,-10.7,27.3
Ventilador,Fan,Ventilador,25.5,-0.3,25.1
Flocos de milho,Cornflakes,Copos de maíz,17.7,6.3,25.1
Máquina de lavar,Washing machine,Lavadora,30.2,-4.8,24
Mortadela,Mortadella,Mortadela,23.9,-0.2,23.7
Banana maçã,Apple banana,Banana manzana,28.2,-3.7,23.5
Farinha de mandioca,Cassava flour,Harina de yuca,18.5,4.2,23.5
Brinquedo,Toys,Juguete,16,6.1,23.1
Sabão em barra,Bar soap,Jabón en barra,29.3,-5.4,22.3
Salame,Salami,Salame,34.4,-9.1,22.2
Fogão,Cooker,Cocina,29.9,-6.3,21.7
Goiaba,Guava,Guayaba,11.1,9.2,21.3
salmão,Salmon,Salmón,14.5,4.7,19.9
corvina,Croaker,Corvina,9.2,7.4,17.3
sardinha,Sardine,Sardina,10.2,3.5,14.1
Automóvel usado,Used car,Automóvil usado,22.8,-8.3,12.6
merluza,Hake,Merluza,17.2,-4.4,12
serra,Spanish mackerel,Sierra,6,1.4,7.5
pescada,Weakfish,Pescadilla,6.5,0.8,7.4
Camarão,Shrimp,Camarón,3.5,2.5,6.1
dourada,Dorado,Dorada,4.3,0.4,4.7
Televisor,Television,Televisor,16.2,-10.8,3.7
Tomate,Tomato,Tomate,6.3,-2.8,3.3
Doce de frutas em pasta,Fruit paste,Dulce de frutas en pasta,32.9,-22.3,3.3
Celular,Mobile phone,Teléfono móvil,7.9,-10.8,-3.8
Laranja baía,Navel orange,Naranja de ombligo,16.6,-21.8,-8.8
Abacate,Avocado,Aguacate,-21.8,-26.9,-42.8
